Repo,Lang,LoC,HoC,Created,Age,LoC/Lang
https://github.com/32xlevel/iscanner,Java,2181,4641,2020-01-27,< 1 year,Kotlin(797) Java(641) XML(516) Markdown(115) Batch(76) Prolog(36) Total(2181)
https://github.com/a5kin/xentica,Python,5681,14652,2017-05-05,> 1 year,Python(4884) reStructuredText(382) Markdown(241) INI(105) Batch(27) Autoconf(16) Bourne Shell(13) Makefile(10) Plain Text(3) Total(5681)
https://github.com/altiore/altiore.ui,TypeScript,58298,406243,2020-01-19,> 1 year,JSON(26062) Typescript JSX(18556) TypeScript(13444) JavaScript(81) YAML(47) Markdown(42) HTML(32) CSS(23) XML(9) Plain Text(2) Total(58298)
https://github.com/brucegithub/namespace-protector,PHP,3556,13917,2020-06-03,> 1 year,PHP(3158) JSON(241) Markdown(100) Makefile(36) XML(21) Total(3556)
https://github.com/btraceio/btrace,Java,44058,432550,2014-08-28,> 1 year,Java(43397) Plain Text(227) Batch(210) XML(71) Markdown(58) D(31) Bourne Shell(27) C(27) C/C++ Header(10) Total(44058)
https://github.com/catalyst-team/catalyst,Python,42791,257723,2018-08-20,> 1 year,Python(34460) YAML(3216) reStructuredText(1761) Markdown(1739) Bourne Shell(1519) Makefile(46) Plain Text(46) Toml(4) Total(42791)
https://github.com/coderaiser/cloudcmd,JavaScript,15251,1526566,2012-06-07,> 1 year,JavaScript(12176) Markdown(1308) JSON(798) CSS(703) Handlebars(173) HTML(70) YAML(22) Plain Text(1) Total(15251)
https://github.com/covid19cz/erouska-android,Kotlin,12506,53750,2020-03-16,> 1 year,XML(6367) Kotlin(5827) JSON(103) Markdown(69) Batch(61) Java(36) Prolog(33) Bourne Shell(10) Total(12506)
https://github.com/crocinc/sql-boot,Kotlin,4163,148646,2016-11-21,> 1 year,Kotlin(2617) XML(571) JavaScript(321) Markdown(274) SQL(221) YAML(86) JSON(41) HTML(26) Plain Text(6) Total(4163)
https://github.com/cybercog/laravel-love,PHP,11657,40861,2018-01-02,> 1 year,PHP(10914) Markdown(655) JSON(88) Total(11657)
https://github.com/decorators-squad/eo-yaml,Java,11418,41299,2016-12-28,> 1 year,Java(10413) XML(580) YAML(297) Markdown(68) Plain Text(40) Bourne Shell(20) Total(11418)
https://github.com/dgroup/lazylead,Ruby,3138,12264,2020-01-17,> 1 year,Ruby(2881) Markdown(156) SQL(42) YAML(40) Plain Text(17) Bourne Shell(2) Total(3138)
https://github.com/dotenv-linter/dotenv-linter,Rust,4946,16903,2019-11-30,> 1 year,Rust(3778) Markdown(974) Bourne Shell(145) HTML(26) Toml(23) Total(4946)
https://github.com/embox/embox,C,243723,2014212,2015-03-29,> 1 year,C(153283) C/C++ Header(53104) Makefile(12976) Plain Text(12598) Assembly(4935) C++(1952) Bourne Shell(1595) Lisp(1231) JavaScript(490) HTML(444) Markdown(219) Python(189) Tcl(130) CSS(96) Prolog(63) INI(62) Lua(61) Awk(60) SQL(49) XML(48) VimL(33) Ruby(33) Batch(31) Java(22) Protobuf(10) LinkerScript(9) TeX(0) Total(243723)
https://github.com/fagnermartinsbrack/jack-the-moneylender,JavaScript,4162,6709,2018-09-20,> 1 year,JavaScript(3650) CSS(321) HTML(191) Total(4162)
https://github.com/fleksl/avatar-maker,Vue,10653,13249,2020-04-13,> 1 year,JSON(10331) Sass(269) Markdown(30) HTML(16) JavaScript(7) Total(10653)
https://github.com/flyimg/flyimg,PHP,11592,49564,2016-03-08,> 1 year,CSS(8148) PHP(2330) Markdown(939) YAML(100) JSON(54) Bourne Shell(21) Plain Text(0) Total(11592)
https://github.com/geftimov/android-pathview,Java,1272,4808,2015-01-20,> 1 year,Java(659) XML(436) Markdown(111) Batch(66) Total(1272)
https://github.com/gentee/gentee,Go,13123,332,2018-01-14,> 1 year,Go(12760) Plain Text(313) Markdown(50) Total(13123)
https://github.com/gulpjs/gulp,JavaScript,5141,25654,2013-07-04,> 1 year,Markdown(4662) JavaScript(400) JSON(60) YAML(17) Plain Text(1) CoffeeScript(1) Total(5141)
https://github.com/hdouss/jeometry,Java,11718,45017,2016-03-01,> 1 year,Java(11243) XML(370) Markdown(105) Total(11718)
https://github.com/iakunin/codexia-bot,Java,20232,52442,2020-02-08,< 1 year,Java(10495) YAML(6410) JSON(2671) SQL(223) Markdown(116) Bourne Shell(113) Batch(76) Makefile(65) XML(63) Total(20232)
https://github.com/ibitcy/eo-locale,TypeScript,1744,123589,2018-05-10,> 1 year,Typescript JSX(496) JSON(389) TypeScript(357) Jsx(195) JavaScript(182) Markdown(82) CSS(43) Total(1744)
https://github.com/igorwojda/android-showcase,Kotlin,37050,53306,2018-11-20,> 1 year,JSON(33289) Kotlin(2289) XML(553) YAML(514) Markdown(236) Prolog(108) Batch(61) Total(37050)
https://github.com/Repo,Lang,LoC,HoC,Created,Age,LoC/Lang
https://github.com/imrafaelmerino/json-values,Java,47662,670737,2019-06-30,> 1 year,Java(28395) JSON(18596) XML(410) Markdown(191) Scala(45) Bourne Shell(24) YAML(1) Total(47662)
https://github.com/javascript-obfuscator/javascript-obfuscator,TypeScript,172012,1766639,2016-05-09,> 1 year,JavaScript(127914) TypeScript(36601) JSON(5822) Markdown(1675) Total(172012)
https://github.com/ligi/survivalmanual,Kotlin,2141,67199,2016-09-16,> 1 year,Kotlin(1123) XML(919) Batch(78) Markdown(21) JSON(0) Total(2141)
https://github.com/mangstadt/print-from-phone,Java,2489,5157,2018-12-29,> 1 year,Java(1296) Plain Text(1108) Markdown(65) HTML(20) Total(2489)
https://github.com/mayokunthefirst/instant-weather,Kotlin,5787,16672,2020-01-25,< 1 year,Kotlin(3194) XML(2312) JSON(144) Batch(61) Markdown(58) Prolog(18) Total(5787)
https://github.com/mcjtymods/rftoolscontrol,Java,19905,32593,2016-08-26,> 1 year,Java(18298) JSON(813) Plain Text(726) Batch(66) Markdown(2) Total(19905)
https://github.com/msaaddev/github-interact-cli,JavaScript,1125,2426,2020-04-06,< 1 year,JavaScript(543) Markdown(425) JSON(157) Total(1125)
https://github.com/muhammad-usama-aleem/glasses-to-aid-the-blind,Python,291,1433,2020-05-07,< 1 year,Python(195) Markdown(96) Total(291)
https://github.com/munusphp/munus,PHP,4016,35553,2019-10-24,< 1 year,PHP(3644) XML(156) Markdown(132) JSON(61) YAML(23) Total(4016)
https://github.com/nesbox/tic-80,C,68242,627333,2017-01-03,> 1 year,C/C++ Header(28993) C(26419) Lua(5705) Java(4319) C++(1177) Plain Text(734) Markdown(261) Autoconf(150) XML(129) HTML(105) Batch(66) Objective-C(45) Makefile(43) JavaScript(39) YAML(22) Bourne Shell(20) Prolog(15) Total(68242)
https://github.com/Repo,Lang,LoC,HoC,Created,Age,LoC/Lang
https://github.com/Repo,Lang,LoC,HoC,Created,Age,LoC/Lang
https://github.com/onqtam/doctest,C++,21283,147499,2014-08-05,> 1 year,C/C++ Header(6871) Plain Text(4569) C++(4070) Markdown(2160) HTML(1736) CSS(997) Python(385) JavaScript(368) YAML(80) JSON(43) Autoconf(4) Total(21283)
https://github.com/openfeign/feign,Java,30458,90059,2013-06-26,> 1 year,Java(24384) XML(3353) Markdown(1791) JSON(602) Bourne Shell(161) Batch(114) Mustache(45) Plain Text(8) Total(30458)
https://github.com/pholser/junit-quickcheck,Java,29867,101660,2010-10-18,> 1 year,Java(25707) Plain Text(1689) Markdown(1307) XML(1164) Total(29867)
https://github.com/pikvm/pikvm,,824,3971,2019-09-16,< 1 year,Markdown(824) Total(824)
https://github.com/pixelpusher/liveprinter,G-code,43186,507469,2018-06-02,> 1 year,Plain Text(26818) JavaScript(9076) CSS(3279) Python(2359) HTML(1233) Markdown(283) JSON(125) Bourne Shell(13) Total(43186)
https://github.com/pmed/v8pp,C++,5593,29404,2013-06-26,> 1 year,C/C++ Header(2534) C++(2056) Markdown(865) JavaScript(81) Makefile(21) Plain Text(20) JSON(16) Total(5593)
https://github.com/popovevgeniy/swgf,C++,3161,15099,2017-04-01,> 1 year,C++(2517) C/C++ Header(630) Plain Text(14) Total(3161)
https://github.com/pric/pric,Shell,172,1014,2019-10-15,< 1 year,Bourne Shell(88) Markdown(84) Total(172)
https://github.com/r57zone/easynotes,HTML,2308,6067,2016-10-07,> 1 year,HTML(1313) Pascal(821) Markdown(87) Plain Text(34) CSS(25) XML(19) Batch(9) Total(2308)
https://github.com/reddec/trusted-cgi,Go,13656,28076,2020-05-25,< 1 year,Go(7760) Markdown(2093) Python(1753) TypeScript(1269) JavaScript(507) CSS(186) YAML(53) Makefile(21) Bourne Shell(14) Total(13656)
https://github.com/reinterpretcat/vrp,Rust,54817,152553,2020-02-05,> 1 year,Rust(27347) JSON(23410) Markdown(1896) Plain Text(1305) CSS(567) Toml(130) Java(58) Kotlin(53) JavaScript(37) Bourne Shell(14) Total(54817)
https://github.com/rey5137/jsonbatch,Java,4384,7873,2020-05-24,< 1 year,Java(2665) Markdown(842) Kotlin(816) Batch(61) Total(4384)
https://github.com/rus4j/trigger-collections,Java,775,1459,2019-06-01,> 1 year,Java(401) XML(341) Markdown(33) Total(775)
